date,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,lat,long 
2023-10,8025,2.4(19),4,62,0,0,8.7,1017.5(04),0,1015.5,1005.9,16.3,32.4(01),20.0,2,0,10,31/14.2(19),0,17,77,0,1,11.8(29),153,165,0,0,2.4,1,0,7,0,22.0,0,21.6,26.9,0,982.8(19),1,38.34517,-0.48149
2023-1,8025,0.4(29),7,56,0,0,7.7,1025.0(04),3,1021.8,1011.9,6.0,23.1(10),12.5,0,0,9,32/19.4(18),0,15,78,0,1,1.2(24),171,79,0,0,0.4,1,0,7,0,12.5,0,11.7,17.3,0,989.4(17),0,38.34517,-0.48149
2023-2,8025,2.2(11),6,63,0,0,6.5,1028.2(10),0,1024.5,1014.5,5.6,22.0(22),9.4,0,0,7,07/13.1(11),0,15,60,0,4,1.5(01),169,85,0,0,3.6,4,0,8,0,12.1,0,10.9,16.2,0,993.2(26),1,38.34517,-0.48149
2023-3,8025,5.4(01),7,53,0,1,10.3,1017.6(28),1,1017.6,1007.9,10.3,31.6(31),18.6,2,0,11,99/17.2(10),0,13,86,0,3,2.8(02),176,99,0,0,7.0,3,0,8,0,13.4,0,16.5,22.6,0,999.2(07),1,38.34517,-0.48149
2023-4,8025,2.0(29),5,53,0,0,11.5,1013.2(11),0,1015.6,1006.0,12.6,33.8(29),19.4,1,0,10,32/13.9(01),0,15,87,0,2,7.1(07),176,120,0,0,2.4,2,1,8,0,19.3,0,18.2,23.7,0,998.2(12),1,38.34517,-0.48149
2023-5,8025,30.2(23),13,62,0,2,9.0,1012.1(08),0,1015.5,1005.9,15.1,26.5(06),18.6,0,0,2,08/13.6(17),3,16,64,0,13,11.0(14),173,148,1,0,96.0,13,7,9,0,18.7,0,19.6,24.0,0,999.9(22),11,38.34517,-0.48149
2023-6,8025,6.4(13),6,58,0,1,11.1,1014.1(23),0,1014.3,1004.9,20.0,33.8(27),23.9,12,0,12,06/11.9(30),0,12,75,0,2,16.2(01),163,191,0,0,9.2,2,2,8,0,22.9,0,24.5,28.9,0,998.0(13),2,38.34517,-0.48149
2023-7,8025,0.6(20),6,66,0,0,11.4,1010.8(10),0,1014.5,1005.2,24.1,34.8(19),25.9,28,0,14,07/11.7(26),0,11,78,0,1,22.1(02),176,268,0,0,0.6,1,1,8,0,29.3,0,28.2,32.4,0,997.0(24),0,38.34517,-0.48149
2023-9,8025,61.3(02),,69,,,9.0,1015.9(30),1,1016.0,1006.6,20.1,31.8(18),25.1,4,0,,05/17.5(03),2,,73,0,5,16.5(23),169,217,1,0,99.3,,,8,0,25.9,,24.5,28.8,0,997.3(21),4,38.34517,-0.48149
2023-11,8025,0.0(--),2,55,0,2,8.3,1018.4(18),3,1016.6,1006.9,12.2,28.7(02),17.0,0,0,11,31/18.9(03),0,17,82,0,0,5.8(24),171,109,0,0,0.0,0,0,8,0,18.3,0,17.8,23.3,0,988.6(02),0,38.34517,-0.48149
2023-12,8025,1.4(07),5,59,0,0,7.1,1027.2(17),0,1022.3,1012.4,7.4,25.1(10),12.9,0,0,15,32/14.7(01),0,11,75,0,2,2.3(19),134,90,0,0,2.0,2,0,6,0,15.3,0,13.3,19.2,0,989.9(01),1,38.34517,-0.48149
2023-13,8025,61.3(02/sep),,60,,,9.4,1028.2(10/feb),8,1017.4,1007.8,14.4,36.0(10/ago),26.4,77,0,,32/19.4(18/ene),5,,77,0,35,1.2(24/ene),167,151,2,0,223.5,,,8,0,12.1,,19.5,24.6,0,982.8(19/oct),22,38.34517,-0.48149
2023-8,8025,0.6(26),0,61,,,11.8,1011.3(11),0,1014.8,1005.5,23.0,36.0(10),26.4,28,0,20,32/13.6(27),0,11,86,0,1,19.9(31),172,241,0,0,0.6,,,8,0,29.4,,27.7,32.4,0,996.4(27),0,38.34517,-0.48149
